# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2021-12-31 11:34:48,-1,2.24,0.00,2.80,9.38,0.00,85.58
plotter1,60,2021-12-31 11:35:48,-1,6.06,0.00,0.34,8.19,0.00,85.41
plotter1,60,2021-12-31 11:36:48,-1,12.77,0.00,0.47,7.59,0.00,79.16
plotter1,60,2021-12-31 11:37:48,-1,10.38,0.00,0.38,7.04,0.00,82.20
plotter1,60,2021-12-31 11:38:48,-1,12.51,0.00,0.42,8.30,0.00,78.77
plotter1,60,2021-12-31 11:39:48,-1,10.58,0.00,0.49,7.97,0.00,80.96
plotter1,60,2021-12-31 11:40:48,-1,9.33,0.00,0.52,8.79,0.00,81.36
plotter1,60,2021-12-31 11:41:48,-1,9.05,0.00,0.45,8.27,0.00,82.23
plotter1,60,2021-12-31 11:42:48,-1,9.15,0.00,0.44,8.10,0.00,82.31
plotter1,60,2021-12-31 11:43:48,-1,11.52,0.00,0.47,6.94,0.00,81.07
plotter1,60,2021-12-31 11:44:48,-1,9.17,0.00,0.45,9.04,0.00,81.34
plotter1,60,2021-12-31 11:45:48,-1,9.36,0.00,0.45,8.27,0.00,81.92
plotter1,60,2021-12-31 11:46:48,-1,9.02,0.00,0.44,9.05,0.00,81.48
plotter1,60,2021-12-31 11:47:48,-1,9.04,0.00,0.41,7.45,0.00,83.09
plotter1,60,2021-12-31 11:48:48,-1,9.09,0.00,0.44,7.16,0.00,83.30
plotter1,60,2021-12-31 11:49:48,-1,11.79,0.00,0.39,7.20,0.00,80.61
plotter1,60,2021-12-31 11:50:48,-1,12.31,0.00,0.45,9.56,0.00,77.68
plotter1,60,2021-12-31 11:51:48,-1,8.87,0.00,0.41,7.45,0.00,83.27
plotter1,60,2021-12-31 11:52:48,-1,9.56,0.00,0.44,7.97,0.00,82.02
plotter1,60,2021-12-31 11:53:48,-1,9.07,0.00,0.44,7.57,0.00,82.91
plotter1,60,2021-12-31 11:54:48,-1,9.05,0.00,0.48,7.32,0.00,83.16
plotter1,60,2021-12-31 11:55:48,-1,9.11,0.00,0.45,8.46,0.00,81.98
plotter1,60,2021-12-31 11:56:48,-1,8.80,0.00,0.42,7.98,0.00,82.80
plotter1,60,2021-12-31 11:57:48,-1,8.44,0.00,0.38,6.52,0.00,84.66
plotter1,60,2021-12-31 11:58:48,-1,8.90,0.00,0.41,7.62,0.00,83.07
plotter1,60,2021-12-31 11:59:48,-1,8.92,0.00,0.39,7.51,0.00,83.18
plotter1,60,2021-12-31 12:00:48,-1,9.09,0.00,0.41,8.50,0.00,82.00
plotter1,60,2021-12-31 12:01:48,-1,8.36,0.00,0.42,8.19,0.00,83.03
plotter1,60,2021-12-31 12:02:48,-1,9.06,0.00,0.41,8.85,0.00,81.67
plotter1,60,2021-12-31 12:03:48,-1,8.64,0.00,0.40,7.32,0.00,83.64
plotter1,60,2021-12-31 12:04:48,-1,9.26,0.00,0.39,8.10,0.00,82.25
plotter1,60,2021-12-31 12:05:48,-1,8.89,0.00,0.43,8.60,0.00,82.08
plotter1,60,2021-12-31 12:06:48,-1,8.62,0.00,0.42,7.30,0.00,83.65
plotter1,60,2021-12-31 12:07:48,-1,8.98,0.00,0.38,6.53,0.00,84.11
plotter1,60,2021-12-31 12:08:48,-1,9.24,0.00,0.43,7.60,0.00,82.74
plotter1,60,2021-12-31 12:09:48,-1,8.97,0.00,0.37,7.54,0.00,83.12
plotter1,60,2021-12-31 12:10:48,-1,9.01,0.00,0.42,7.82,0.00,82.75
plotter1,60,2021-12-31 12:11:48,-1,9.38,0.00,0.39,6.90,0.00,83.33
plotter1,60,2021-12-31 12:12:48,-1,8.47,0.00,0.47,7.30,0.00,83.76
plotter1,60,2021-12-31 12:13:48,-1,8.32,0.00,0.40,6.84,0.00,84.44
plotter1,60,2021-12-31 12:14:48,-1,13.88,0.00,0.40,7.54,0.00,78.17
plotter1,60,2021-12-31 12:15:48,-1,15.82,0.00,0.43,8.19,0.00,75.56
