# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
plotter1;60;2021-12-31 12:17:05;-1;1.37;0.00;1.48;9.66;0.00;87.49
plotter1;60;2021-12-31 12:18:05;-1;9.19;0.00;0.34;7.62;0.00;82.84
plotter1;60;2021-12-31 12:19:05;-1;15.36;0.00;0.46;8.83;0.00;75.34
plotter1;60;2021-12-31 12:20:05;-1;14.60;0.00;0.41;8.79;0.00;76.20
plotter1;60;2021-12-31 12:21:05;-1;11.26;0.00;0.45;8.47;0.00;79.82
plotter1;60;2021-12-31 12:22:05;-1;9.20;0.00;0.44;6.63;0.00;83.72
plotter1;60;2021-12-31 12:23:05;-1;9.12;0.00;0.40;6.79;0.00;83.68
plotter1;60;2021-12-31 12:24:05;-1;9.63;0.00;0.44;7.95;0.00;81.98
plotter1;60;2021-12-31 12:25:05;-1;11.75;0.00;0.43;7.29;0.00;80.52
plotter1;60;2021-12-31 12:26:05;-1;9.34;0.00;0.42;7.57;0.00;82.67
plotter1;60;2021-12-31 12:27:05;-1;9.68;0.00;0.39;7.23;0.00;82.70
plotter1;60;2021-12-31 12:28:05;-1;8.57;0.00;0.38;6.35;0.00;84.70
plotter1;60;2021-12-31 12:29:05;-1;9.62;0.00;0.38;6.45;0.00;83.55
plotter1;60;2021-12-31 12:30:05;-1;9.11;0.00;0.41;6.25;0.00;84.24
plotter1;60;2021-12-31 12:31:05;-1;11.34;0.00;0.37;7.54;0.00;80.74
plotter1;60;2021-12-31 12:32:05;-1;12.84;0.00;0.40;6.77;0.00;80.00
plotter1;60;2021-12-31 12:33:05;-1;8.96;0.00;0.41;7.62;0.00;83.01
plotter1;60;2021-12-31 12:34:05;-1;8.83;0.00;0.37;7.17;0.00;83.63
plotter1;60;2021-12-31 12:35:05;-1;9.22;0.00;0.41;7.78;0.00;82.58
plotter1;60;2021-12-31 12:36:05;-1;9.58;0.00;0.40;7.72;0.00;82.30
plotter1;60;2021-12-31 12:37:05;-1;8.99;0.00;0.39;7.79;0.00;82.83
plotter1;60;2021-12-31 12:38:05;-1;8.81;0.00;0.39;6.86;0.00;83.93
plotter1;60;2021-12-31 12:39:05;-1;8.53;0.00;0.37;7.85;0.00;83.25
plotter1;60;2021-12-31 12:40:05;-1;9.02;0.00;0.40;8.21;0.00;82.37
plotter1;60;2021-12-31 12:41:05;-1;9.25;0.00;0.40;8.78;0.00;81.57
plotter1;60;2021-12-31 12:42:05;-1;9.00;0.00;0.38;6.91;0.00;83.72
plotter1;60;2021-12-31 12:43:05;-1;8.89;0.00;0.39;6.46;0.00;84.26
plotter1;60;2021-12-31 12:44:05;-1;8.46;0.00;0.34;6.61;0.00;84.59
plotter1;60;2021-12-31 12:45:05;-1;9.42;0.00;0.40;6.44;0.00;83.75
plotter1;60;2021-12-31 12:46:05;-1;9.23;0.00;0.50;8.07;0.00;82.20
plotter1;60;2021-12-31 12:47:05;-1;8.64;0.00;0.36;6.58;0.00;84.42
plotter1;60;2021-12-31 12:48:05;-1;9.09;0.00;0.37;6.87;0.00;83.66
plotter1;60;2021-12-31 12:49:05;-1;8.57;0.00;0.37;6.55;0.00;84.52
plotter1;60;2021-12-31 12:50:05;-1;9.39;0.00;0.40;7.48;0.00;82.72
plotter1;60;2021-12-31 12:51:05;-1;9.22;0.00;0.38;9.50;0.00;80.89
