# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
plotter1;60;2021-12-31 10:09:36;-1;5.45;0.00;1.67;10.14;0.00;82.75
plotter1;60;2021-12-31 10:10:36;-1;2.56;0.00;0.38;8.76;0.00;88.31
plotter1;60;2021-12-31 10:11:36;-1;7.70;0.00;0.29;6.69;0.00;85.32
plotter1;60;2021-12-31 10:12:36;-1;13.95;0.00;0.46;8.87;0.00;76.72
plotter1;60;2021-12-31 10:13:36;-1;13.01;0.00;0.39;8.89;0.00;77.71
plotter1;60;2021-12-31 10:14:36;-1;11.77;0.00;0.42;7.73;0.00;80.07
plotter1;60;2021-12-31 10:15:36;-1;9.10;0.00;0.47;8.49;0.00;81.93
plotter1;60;2021-12-31 10:16:36;-1;9.66;0.00;0.47;7.44;0.00;82.42
plotter1;60;2021-12-31 10:17:36;-1;8.82;0.00;0.42;6.75;0.00;84.01
plotter1;60;2021-12-31 10:18:36;-1;12.08;0.00;0.43;8.56;0.00;78.93
plotter1;60;2021-12-31 10:19:36;-1;9.12;0.00;0.44;7.67;0.00;82.78
plotter1;60;2021-12-31 10:20:36;-1;9.36;0.00;0.44;7.82;0.00;82.39
plotter1;60;2021-12-31 10:21:36;-1;8.77;0.00;0.42;9.63;0.00;81.18
plotter1;60;2021-12-31 10:22:36;-1;9.41;0.00;0.42;7.78;0.00;82.39
plotter1;60;2021-12-31 10:23:36;-1;9.14;0.00;0.40;7.98;0.00;82.48
plotter1;60;2021-12-31 10:24:36;-1;9.61;0.00;0.40;7.07;0.00;82.92
plotter1;60;2021-12-31 10:25:36;-1;14.36;0.00;0.45;8.51;0.00;76.68
plotter1;60;2021-12-31 10:26:36;-1;8.95;0.00;0.41;7.08;0.00;83.56
plotter1;60;2021-12-31 10:27:36;-1;8.84;0.00;0.39;7.87;0.00;82.90
plotter1;60;2021-12-31 10:28:36;-1;9.47;0.00;0.42;8.42;0.00;81.69
plotter1;60;2021-12-31 10:29:36;-1;8.85;0.00;0.41;8.26;0.00;82.47
plotter1;60;2021-12-31 10:30:36;-1;9.23;0.00;0.42;7.99;0.00;82.37
plotter1;60;2021-12-31 10:31:36;-1;9.40;0.00;0.66;6.79;0.00;83.15
plotter1;60;2021-12-31 10:32:36;-1;8.76;0.00;0.40;7.37;0.00;83.46
plotter1;60;2021-12-31 10:33:36;-1;9.01;0.00;0.37;7.48;0.00;83.14
plotter1;60;2021-12-31 10:34:36;-1;8.88;0.00;0.42;7.31;0.00;83.39
plotter1;60;2021-12-31 10:35:36;-1;8.85;0.00;0.44;7.94;0.00;82.77
plotter1;60;2021-12-31 10:36:36;-1;8.87;0.00;0.40;6.91;0.00;83.82
plotter1;60;2021-12-31 10:37:36;-1;8.74;0.00;0.37;6.26;0.00;84.64
plotter1;60;2021-12-31 10:38:36;-1;8.82;0.00;0.37;7.72;0.00;83.10
plotter1;60;2021-12-31 10:39:36;-1;8.73;0.00;0.39;6.15;0.00;84.73
plotter1;60;2021-12-31 10:40:36;-1;9.31;0.00;0.43;8.13;0.00;82.12
plotter1;60;2021-12-31 10:41:36;-1;9.24;0.00;0.40;7.33;0.00;83.03
plotter1;60;2021-12-31 10:42:36;-1;8.60;0.00;0.39;7.28;0.00;83.73
plotter1;60;2021-12-31 10:43:36;-1;8.95;0.00;0.38;7.04;0.00;83.63
plotter1;60;2021-12-31 10:44:36;-1;9.44;0.00;0.41;8.11;0.00;82.04
plotter1;60;2021-12-31 10:45:36;-1;10.11;0.00;0.41;7.24;0.00;82.24
plotter1;60;2021-12-31 10:46:36;-1;8.87;0.00;0.39;7.16;0.00;83.58
plotter1;60;2021-12-31 10:47:36;-1;8.85;0.00;0.37;7.30;0.00;83.49
plotter1;60;2021-12-31 10:48:36;-1;8.42;0.00;0.39;7.98;0.00;83.21
plotter1;60;2021-12-31 10:49:36;-1;11.92;0.00;0.36;5.98;0.00;81.74
plotter1;60;2021-12-31 10:50:36;-1;14.67;0.00;0.42;8.38;0.00;76.53
