# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2021-12-30 13:19:28,-1,1.37,0.00,1.51,9.35,0.00,87.77
plotter1,60,2021-12-30 13:20:28,-1,7.37,0.00,0.34,9.02,0.00,83.27
plotter1,60,2021-12-30 13:21:28,-1,13.66,0.00,0.46,9.41,0.00,76.47
plotter1,60,2021-12-30 13:22:28,-1,13.28,0.00,0.42,7.71,0.00,78.59
plotter1,60,2021-12-30 13:23:28,-1,13.11,0.00,0.47,7.91,0.00,78.51
plotter1,60,2021-12-30 13:24:28,-1,8.98,0.00,0.48,8.48,0.00,82.07
plotter1,60,2021-12-30 13:25:28,-1,9.19,0.00,0.48,8.17,0.00,82.16
plotter1,60,2021-12-30 13:26:28,-1,9.02,0.00,0.45,8.30,0.00,82.24
plotter1,60,2021-12-30 13:27:28,-1,10.95,0.00,0.42,7.52,0.00,81.11
plotter1,60,2021-12-30 13:28:28,-1,9.07,0.00,0.44,7.55,0.00,82.94
plotter1,60,2021-12-30 13:29:28,-1,9.01,0.00,0.41,8.85,0.00,81.72
plotter1,60,2021-12-30 13:30:28,-1,9.41,0.00,0.47,8.57,0.00,81.54
plotter1,60,2021-12-30 13:31:28,-1,8.93,0.00,0.39,6.50,0.00,84.19
plotter1,60,2021-12-30 13:32:28,-1,9.01,0.00,0.42,8.47,0.00,82.10
plotter1,60,2021-12-30 13:33:28,-1,9.43,0.00,0.42,8.19,0.00,81.96
plotter1,60,2021-12-30 13:34:28,-1,14.10,0.00,0.41,7.62,0.00,77.87
plotter1,60,2021-12-30 13:35:28,-1,9.18,0.00,0.44,9.16,0.00,81.21
plotter1,60,2021-12-30 13:36:28,-1,8.79,0.00,0.40,7.20,0.00,83.62
plotter1,60,2021-12-30 13:37:28,-1,9.44,0.00,0.42,7.84,0.00,82.30
plotter1,60,2021-12-30 13:38:28,-1,8.91,0.00,0.41,7.49,0.00,83.18
plotter1,60,2021-12-30 13:39:28,-1,8.91,0.00,0.40,7.28,0.00,83.40
plotter1,60,2021-12-30 13:40:28,-1,8.99,0.00,0.44,8.23,0.00,82.34
plotter1,60,2021-12-30 13:41:28,-1,8.44,0.00,0.39,7.44,0.00,83.73
plotter1,60,2021-12-30 13:42:28,-1,8.93,0.00,0.38,7.88,0.00,82.81
plotter1,60,2021-12-30 13:43:28,-1,8.97,0.00,0.45,7.33,0.00,83.25
plotter1,60,2021-12-30 13:44:28,-1,8.91,0.00,0.61,8.42,0.00,82.06
plotter1,60,2021-12-30 13:45:28,-1,9.10,0.00,0.43,8.37,0.00,82.10
plotter1,60,2021-12-30 13:46:28,-1,8.82,0.00,0.41,7.65,0.00,83.11
plotter1,60,2021-12-30 13:47:28,-1,8.75,0.00,0.38,7.19,0.00,83.68
plotter1,60,2021-12-30 13:48:28,-1,8.67,0.00,0.40,7.11,0.00,83.82
plotter1,60,2021-12-30 13:49:28,-1,8.92,0.00,0.40,8.75,0.00,81.93
plotter1,60,2021-12-30 13:50:28,-1,8.91,0.00,0.43,8.91,0.00,81.76
plotter1,60,2021-12-30 13:51:28,-1,8.92,0.00,0.41,7.28,0.00,83.39
plotter1,60,2021-12-30 13:52:28,-1,8.95,0.00,0.38,7.60,0.00,83.07
plotter1,60,2021-12-30 13:53:28,-1,9.25,0.00,0.40,7.61,0.00,82.73
plotter1,60,2021-12-30 13:54:28,-1,8.75,0.00,0.38,8.54,0.00,82.34
plotter1,60,2021-12-30 13:55:28,-1,8.99,0.00,0.43,8.43,0.00,82.16
plotter1,60,2021-12-30 13:56:28,-1,9.36,0.00,0.38,7.34,0.00,82.92
plotter1,60,2021-12-30 13:57:28,-1,7.86,0.00,0.38,7.13,0.00,84.62
plotter1,60,2021-12-30 13:58:28,-1,11.40,0.00,0.37,7.07,0.00,81.16
plotter1,60,2021-12-30 13:59:28,-1,14.28,0.00,0.39,7.76,0.00,77.56
# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
plotter1,60,2021-12-30 13:19:28,4737.02,4440.55,295.55,0.92,1056335.22,689956.13,897811.60
plotter1,60,2021-12-30 13:20:28,1102.45,747.77,354.63,0.05,34561.68,10163.07,4.40
plotter1,60,2021-12-30 13:21:28,3580.28,1878.75,1701.48,0.05,64313.98,45393.73,4.40
plotter1,60,2021-12-30 13:22:28,2406.37,840.65,1565.72,0.00,31885.20,38947.73,0.00
plotter1,60,2021-12-30 13:23:28,2526.10,542.75,1983.35,0.00,24672.78,47279.87,0.00
plotter1,60,2021-12-30 13:24:28,2162.95,394.03,1768.92,0.00,22441.47,37944.80,0.00
plotter1,60,2021-12-30 13:25:28,1876.68,233.47,1643.22,0.00,19642.13,33602.93,0.00
plotter1,60,2021-12-30 13:26:28,1860.33,211.62,1648.72,0.00,20707.32,32398.27,0.00
plotter1,60,2021-12-30 13:27:28,2191.98,286.77,1905.22,0.00,20318.80,37847.20,0.00
plotter1,60,2021-12-30 13:28:28,1656.17,188.27,1467.90,0.00,18537.73,27324.93,0.00
plotter1,60,2021-12-30 13:29:28,1633.60,210.95,1422.65,0.00,21503.60,26029.87,0.00
plotter1,60,2021-12-30 13:30:28,1266.82,220.00,1046.82,0.00,19800.27,19875.33,0.00
plotter1,60,2021-12-30 13:31:28,1323.27,160.28,1162.98,0.00,15869.60,21668.13,0.00
plotter1,60,2021-12-30 13:32:28,1415.72,193.77,1221.95,0.00,19315.47,22301.47,0.00
plotter1,60,2021-12-30 13:33:28,1759.60,361.37,1398.23,0.00,20637.73,25088.93,0.00
plotter1,60,2021-12-30 13:34:28,1547.30,352.40,1194.90,0.00,20302.80,21182.53,0.00
plotter1,60,2021-12-30 13:35:28,1558.62,193.25,1365.37,0.00,18058.80,23235.47,0.00
plotter1,60,2021-12-30 13:36:28,1556.13,165.22,1390.92,0.00,16716.40,23672.40,0.00
plotter1,60,2021-12-30 13:37:28,1545.22,220.60,1324.62,0.00,20668.13,22696.80,0.00
plotter1,60,2021-12-30 13:38:28,1564.42,203.58,1360.83,0.00,19035.07,23009.33,0.00
plotter1,60,2021-12-30 13:39:28,1524.65,192.85,1331.80,0.00,18520.53,22456.80,0.00
plotter1,60,2021-12-30 13:40:28,1519.98,248.47,1271.52,0.00,19839.07,21545.73,0.00
plotter1,60,2021-12-30 13:41:28,1570.80,209.57,1361.23,0.00,19425.87,22881.60,0.00
plotter1,60,2021-12-30 13:42:28,1482.32,176.95,1305.37,0.00,17557.73,21942.27,0.00
plotter1,60,2021-12-30 13:43:28,1481.92,179.57,1302.35,0.00,17691.73,21882.00,0.00
plotter1,60,2021-12-30 13:44:28,1475.80,201.47,1274.33,0.00,19966.67,21484.80,0.00
plotter1,60,2021-12-30 13:45:28,1484.90,198.88,1286.02,0.00,18742.67,21751.33,0.00
plotter1,60,2021-12-30 13:46:28,1545.35,199.22,1346.13,0.00,19751.87,22159.33,0.00
plotter1,60,2021-12-30 13:47:28,1509.57,225.20,1284.37,0.00,18448.53,21473.87,0.00
plotter1,60,2021-12-30 13:48:28,1501.82,191.75,1310.07,0.00,17766.40,21859.47,0.00
plotter1,60,2021-12-30 13:49:28,1471.62,222.78,1248.83,0.00,19001.07,20736.80,0.00
plotter1,60,2021-12-30 13:50:28,1541.12,222.20,1318.92,0.00,19870.53,22156.67,0.00
plotter1,60,2021-12-30 13:51:28,1543.65,192.88,1350.77,0.00,18773.33,22430.93,0.00
plotter1,60,2021-12-30 13:52:28,1480.65,174.90,1305.75,0.00,17376.67,21756.53,0.00
plotter1,60,2021-12-30 13:53:28,1522.37,189.27,1333.10,0.00,18534.13,22362.67,0.00
