# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
plotter1;60;2022-01-02 15:11:01;-1;9.21;0.00;1.27;8.78;0.00;80.74
plotter1;60;2022-01-02 15:12:01;-1;16.53;0.00;0.53;7.80;0.00;75.14
plotter1;60;2022-01-02 15:13:01;-1;18.01;0.00;0.54;7.95;0.00;73.50
plotter1;60;2022-01-02 15:14:01;-1;16.21;0.00;0.57;9.07;0.00;74.15
plotter1;60;2022-01-02 15:15:01;-1;9.83;0.00;0.48;9.06;0.00;80.63
plotter1;60;2022-01-02 15:16:01;-1;9.86;0.00;0.51;10.17;0.00;79.46
plotter1;60;2022-01-02 15:17:01;-1;9.42;0.00;0.46;7.98;0.00;82.13
plotter1;60;2022-01-02 15:18:01;-1;11.39;0.00;0.42;6.99;0.00;81.20
plotter1;60;2022-01-02 15:19:01;-1;9.41;0.00;0.46;8.58;0.00;81.55
plotter1;60;2022-01-02 15:20:01;-1;9.36;0.00;0.41;8.43;0.00;81.79
plotter1;60;2022-01-02 15:21:01;-1;10.18;0.00;0.43;9.80;0.00;79.60
plotter1;60;2022-01-02 15:22:01;-1;9.46;0.00;0.41;9.27;0.00;80.86
plotter1;60;2022-01-02 15:23:01;-1;9.88;0.00;0.42;8.97;0.00;80.74
plotter1;60;2022-01-02 15:24:01;-1;12.02;0.00;0.36;8.50;0.00;79.12
plotter1;60;2022-01-02 15:25:01;-1;10.37;0.00;0.32;7.49;0.00;81.82
plotter1;60;2022-01-02 15:26:01;-1;5.82;0.00;0.34;8.93;0.00;84.91
plotter1;60;2022-01-02 15:27:01;-1;9.37;0.00;0.40;8.39;0.00;81.85
plotter1;60;2022-01-02 15:28:01;-1;9.47;0.00;0.41;8.18;0.00;81.93
plotter1;60;2022-01-02 15:29:01;-1;9.78;0.00;0.42;7.50;0.00;82.30
plotter1;60;2022-01-02 15:30:01;-1;9.19;0.00;0.37;9.07;0.00;81.37
plotter1;60;2022-01-02 15:31:01;-1;9.29;0.00;0.39;7.97;0.00;82.35
plotter1;60;2022-01-02 15:32:01;-1;9.39;0.00;0.36;8.85;0.00;81.40
plotter1;60;2022-01-02 15:33:01;-1;9.18;0.00;0.33;8.03;0.00;82.46
plotter1;60;2022-01-02 15:34:01;-1;9.25;0.00;0.41;8.69;0.00;81.65
plotter1;60;2022-01-02 15:35:01;-1;9.70;0.00;0.55;7.48;0.00;82.26
plotter1;60;2022-01-02 15:36:01;-1;9.45;0.00;0.40;8.03;0.00;82.11
plotter1;60;2022-01-02 15:37:01;-1;9.08;0.00;0.35;8.08;0.00;82.49
plotter1;60;2022-01-02 15:38:01;-1;8.90;0.00;0.31;7.05;0.00;83.74
plotter1;60;2022-01-02 15:39:01;-1;9.48;0.00;0.31;6.77;0.00;83.44
plotter1;60;2022-01-02 15:40:01;-1;9.46;0.00;0.33;7.60;0.00;82.61
plotter1;60;2022-01-02 15:41:01;-1;9.17;0.00;0.37;8.59;0.00;81.88
plotter1;60;2022-01-02 15:42:01;-1;9.39;0.00;0.34;8.88;0.00;81.39
plotter1;60;2022-01-02 15:43:01;-1;9.89;0.00;0.34;7.52;0.00;82.25
plotter1;60;2022-01-02 15:44:01;-1;9.12;0.00;0.31;7.74;0.00;82.83
plotter1;60;2022-01-02 15:45:01;-1;9.42;0.00;0.35;8.99;0.00;81.24
plotter1;60;2022-01-02 15:46:01;-1;9.88;0.00;0.37;9.27;0.00;80.48
plotter1;60;2022-01-02 15:47:01;-1;8.85;0.00;0.36;5.89;0.00;84.90
plotter1;60;2022-01-02 15:48:01;-1;12.27;0.00;0.39;8.76;0.00;78.59
plotter1;60;2022-01-02 15:49:01;-1;13.84;0.00;0.36;6.73;0.00;79.06
# hostname;interval;timestamp;tps;rtps;wtps;dtps;bread/s;bwrtn/s;bdscd/s
plotter1;60;2022-01-02 15:11:01;265.68;236.50;29.03;0.15;21788.33;658.00;29.33
plotter1;60;2022-01-02 15:12:01;187.98;179.93;7.95;0.10;18068.53;149.87;8.80
plotter1;60;2022-01-02 15:13:01;177.40;166.78;10.62;0.00;17220.90;159.87;0.00
